period,hs8_code,scope,family,description,destination_country_code,destination_country,unit,total_export_value_cad,domestic_export_value_cad,derived_reexport_value_cad,total_export_quantity,domestic_export_quantity,derived_reexport_quantity,derivation,total_exports_url,domestic_exports_url
2025,24041200,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,"Products containing nicotine,intended for inhalation w/o combustion",MA,Morocco,KGM,588270,580515,7755,25973,25643,330,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,24041200,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,"Products containing nicotine,intended for inhalation w/o combustion",CO,Colombia,KGM,126065,102500,23565,5385,4535,850,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,24041200,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,"Products containing nicotine,intended for inhalation w/o combustion",DO,Dominican Republic,KGM,100689,100689,0,4349,4349,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,24041200,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,"Products containing nicotine,intended for inhalation w/o combustion",US,United States of America,KGM,77287,0,77287,1679,0,1679,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,24041200,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,"Products containing nicotine,intended for inhalation w/o combustion",PE,Peru,KGM,68369,11753,56616,2742,517,2225,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,24041200,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,"Products containing nicotine,intended for inhalation w/o combustion",CL,Chile,KGM,33507,33507,0,1496,1496,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,24041200,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,"Products containing nicotine,intended for inhalation w/o combustion",UM,United States Minor Outlying Islands,KGM,4787,0,4787,212,0,212,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,24041200,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,"Products containing nicotine,intended for inhalation w/o combustion",PY,Paraguay,KGM,4141,0,4141,95,0,95,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,24041900,extended_liquid_proxy_not_exclusive,other_inhalation_product,"Products cont tobacco/nicotine substitues,intended for inhalation w/o combustion",FR,France,KGM,713282,713282,0,31733,31733,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,24041900,extended_liquid_proxy_not_exclusive,other_inhalation_product,"Products cont tobacco/nicotine substitues,intended for inhalation w/o combustion",ES,Spain,KGM,51473,51473,0,2435,2435,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,24041900,extended_liquid_proxy_not_exclusive,other_inhalation_product,"Products cont tobacco/nicotine substitues,intended for inhalation w/o combustion",AT,Austria,KGM,29453,29453,0,1312,1312,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,24041900,extended_liquid_proxy_not_exclusive,other_inhalation_product,"Products cont tobacco/nicotine substitues,intended for inhalation w/o combustion",DE,Germany,KGM,27177,27177,0,1198,1198,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,24041900,extended_liquid_proxy_not_exclusive,other_inhalation_product,"Products cont tobacco/nicotine substitues,intended for inhalation w/o combustion",DK,Denmark,KGM,21538,21538,0,946,946,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,24041900,extended_liquid_proxy_not_exclusive,other_inhalation_product,"Products cont tobacco/nicotine substitues,intended for inhalation w/o combustion",US,United States of America,KGM,4453,0,4453,23,0,23,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,85434000,core_device,electronic_cigarettes_and_similar_devices,Electronic cigarettes and similar personal electric vaporizing devices,US,United States of America,N/A,800950,381404,419546,0,0,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,85434000,core_device,electronic_cigarettes_and_similar_devices,Electronic cigarettes and similar personal electric vaporizing devices,CN,China,N/A,304057,0,304057,0,0,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,85434000,core_device,electronic_cigarettes_and_similar_devices,Electronic cigarettes and similar personal electric vaporizing devices,PE,Peru,N/A,204500,0,204500,0,0,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,85434000,core_device,electronic_cigarettes_and_similar_devices,Electronic cigarettes and similar personal electric vaporizing devices,CO,Colombia,N/A,112228,0,112228,0,0,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,85434000,core_device,electronic_cigarettes_and_similar_devices,Electronic cigarettes and similar personal electric vaporizing devices,MA,Morocco,N/A,46313,0,46313,0,0,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,85434000,core_device,electronic_cigarettes_and_similar_devices,Electronic cigarettes and similar personal electric vaporizing devices,AU,Australia,N/A,22409,22409,0,0,0,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,85434000,core_device,electronic_cigarettes_and_similar_devices,Electronic cigarettes and similar personal electric vaporizing devices,ES,Spain,N/A,15012,15012,0,0,0,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,85434000,core_device,electronic_cigarettes_and_similar_devices,Electronic cigarettes and similar personal electric vaporizing devices,CH,Switzerland,N/A,14616,0,14616,0,0,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,85434000,core_device,electronic_cigarettes_and_similar_devices,Electronic cigarettes and similar personal electric vaporizing devices,DE,Germany,N/A,12501,12501,0,0,0,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,85434000,core_device,electronic_cigarettes_and_similar_devices,Electronic cigarettes and similar personal electric vaporizing devices,JP,Japan,N/A,8971,0,8971,0,0,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,85434000,core_device,electronic_cigarettes_and_similar_devices,Electronic cigarettes and similar personal electric vaporizing devices,PY,Paraguay,N/A,7577,0,7577,0,0,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,85434000,core_device,electronic_cigarettes_and_similar_devices,Electronic cigarettes and similar personal electric vaporizing devices,GB,United Kingdom,N/A,7369,7369,0,0,0,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,85434000,core_device,electronic_cigarettes_and_similar_devices,Electronic cigarettes and similar personal electric vaporizing devices,AO,Angola,N/A,6783,6783,0,0,0,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,85434000,core_device,electronic_cigarettes_and_similar_devices,Electronic cigarettes and similar personal electric vaporizing devices,SA,Saudi Arabia,N/A,5974,5974,0,0,0,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,85434000,core_device,electronic_cigarettes_and_similar_devices,Electronic cigarettes and similar personal electric vaporizing devices,GY,Guyana,N/A,4500,4500,0,0,0,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
2025,85434000,core_device,electronic_cigarettes_and_similar_devices,Electronic cigarettes and similar personal electric vaporizing devices,TC,Turks and Caicos Islands,N/A,107,107,0,0,0,0,total exports minus domestic exports,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Tot_Exp_2025.zip,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Dom_Exp_2025.zip
