period,scope,products,flow,rank,partner,partner_label,partner_basis,value_eur,share_of_country_partner_rows_pct,method_note,source_url
2025,narrow_patent_scope_proxy,85434000+24041200,import,1,CN,China,extra-EU country of origin,5879812.0,40.871736,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,2,HR,Croatia,intra-EU country of consignment,3917406.0,27.230664,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,3,PL,Poland,intra-EU country of consignment,2446753.0,17.007864,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,4,DE,Germany (incl. German Democratic Republic 'DD' from 1991),intra-EU country of consignment,872221.0,6.062981,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,5,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",intra-EU country of consignment,370124.0,2.572805,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,6,IT,Italy (incl. San Marino 'SM' -> 1993),intra-EU country of consignment,316623.0,2.200909,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,7,SE,Sweden,intra-EU country of consignment,258624.0,1.797747,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,8,HK,Hong Kong,extra-EU country of origin,115759.0,0.804664,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,9,GR,Greece,intra-EU country of consignment,63828.0,0.443681,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,10,GB,United Kingdom,extra-EU country of origin,42893.0,0.298158,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,1,NO,Norway (incl. Svalbard and Jan Mayen 'SJ' -> 1994 and again from 1997),country of destination,408967.0,45.190573,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,2,US,United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000),country of destination,284685.0,31.457497,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,3,MX,Mexico,country of destination,56756.0,6.271499,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,4,DE,Germany (incl. German Democratic Republic 'DD' from 1991),country of destination,39752.0,4.392569,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,5,FI,Finland,country of destination,18483.0,2.042359,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,6,SE,Sweden,country of destination,18046.0,1.994071,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,7,GL,Greenland,country of destination,16326.0,1.804012,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,8,GB,United Kingdom,country of destination,14711.0,1.625555,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,9,CH,Switzerland (incl. Liechtenstein 'LI' -> 1994),country of destination,12623.0,1.394833,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,10,NL,Netherlands,country of destination,8894.0,0.982781,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,1,CN,China,extra-EU country of origin,5879819.0,38.744767,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,2,HR,Croatia,intra-EU country of consignment,3917406.0,25.813547,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,3,PL,Poland,intra-EU country of consignment,2456226.0,16.185176,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,4,DE,Germany (incl. German Democratic Republic 'DD' from 1991),intra-EU country of consignment,872221.0,5.747456,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,5,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",intra-EU country of consignment,697558.0,4.596523,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,6,IT,Italy (incl. San Marino 'SM' -> 1993),intra-EU country of consignment,316623.0,2.086371,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,7,GB,United Kingdom,extra-EU country of origin,285750.0,1.882935,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,8,SE,Sweden,intra-EU country of consignment,263117.0,1.733796,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,9,HK,Hong Kong,extra-EU country of origin,122691.0,0.808466,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,10,MY,Malaysia,extra-EU country of origin,108116.0,0.712425,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,export,1,NO,Norway (incl. Svalbard and Jan Mayen 'SJ' -> 1994 and again from 1997),country of destination,408967.0,42.801271,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,export,2,US,United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000),country of destination,284685.0,29.794286,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,export,3,MX,Mexico,country of destination,56756.0,5.939914,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,export,4,DE,Germany (incl. German Democratic Republic 'DD' from 1991),country of destination,39752.0,4.160326,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,export,5,AE,United Arab Emirates,country of destination,28127.0,2.943688,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,export,6,GL,Greenland,country of destination,22258.0,2.329456,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,export,7,BG,Bulgaria,country of destination,20711.0,2.167552,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,export,8,FI,Finland,country of destination,18483.0,1.934376,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,export,9,SE,Sweden,country of destination,18046.0,1.888641,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,export,10,GB,United Kingdom,country of destination,14711.0,1.53961,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
